672.862 432.883
672.862 432.883
689.945 468.535
571.219 530.262
633.392 534.94
530.732 504.067
612.176 494.317
461.411 530.525
488.312 437.487
143.061 631.72
49.9187 541.435
72.633 645.785
42.5331 656.365
101.869 635.099
176.594 648.524
354.724 685.405
395.691 699.538
475.898 468.539
630.923 230.343
500.383 198.743
506.619 233.002
506.619 233.002
378.348 272.291
358.917 404.467
283.005 376.444
255.557 448.865
141.451 485.248
104.653 482.822
228.833 410.446
299.481 251.83
315.293 273.228
308.435 115.205
239.905 102.63
192.407 20.4394
146.539 39.4232
138.244 137.168
172.309 344.396
135.638 325.841
38.1312 353.148
43.6892 305.472
48.0798 270.968
17.3633 240.241
15.2146 143.044
53.4418 131.485
97.7359 157.456
91.6468 166.354
56.02 243.066
98.7899 384.593
98.7899 384.593
297.791 166.313
334.351 153.797
334.275 152.149
397.559 74.7588
356.71 67.6477
303.838 21.0526
259.71 10.62
210.416 130.715
141.404 228.433
246.928 322.461
224.318 312.468
130.924 351.149
381.654 360.334
415.026 233.305
635.497 133.323
661.559 217.046
697.388 180.396
690.966 134.579
649.731 62.3332
623.249 69.1893
595.836 81.813
547.266 161.659
494.859 148.122
500.257 64.9136
558.201 0.419881
398.23 119.558
282.787 229.8
249.059 76.6595
70.2723 77.9227
87.7495 19.617
117.862 112.98
59.4163 40.128
91.5848 110.02
271.504 225.292
457.263 350.016
536.489 287.228
565.785 282.386
594.405 275.874
397.559 231.359
400.407 253.679
500.383 198.743
240.825 281.514
192.119 314.184
197.897 512.389
144.6 457.422
282.304 426.838
350.425 420.653
396.774 460.756
390.697 423.977
398.55 392.649
486.465 593.043
531.029 612.387
588.197 580.595
579.327 601.036
475.735 385.784
471.101 314.222
590.894 370.741
608.426 222.542
659.912 226.628
629.998 433.455
634.318 612.829
656.694 558.111
658.913 583.958
562.905 670.038
484.803 677.073
216.701 466.482
141.488 504.818
118.663 508.713
141.488 504.818
189.751 460.382
79.4653 445.964
54.5249 438.552
112.748 529.418
212.373 594.922
342.358 599.388
343.169 509.312
269.367 367.476
278.871 299.931
220.704 270.082
88.4678 384.051
22.7643 455.534
22.6471 526.247
10.0261 488.931
37.4394 541.209
58.7767 507.171
59.7537 551.632
193.661 669.743
352.966 666.787
498.807 576.21
537.466 472.584
661.051 445.938
598.416 414.556
590.894 370.741
396.127 539.465
299.588 530.589
322.422 550.317
616.655 339.341
578.381 321.33
536.489 287.228
471.101 314.222
471.101 314.222
672.862 432.883
